product_name,review,price,discount_price,date
Mesa Plegable Plástico Tipo Portafolio 180cm Portátil Cafe,4.7,"1,389",989,2024/02/04
Roku Express | Dispositivo de streaming HD con cable HDMI de alta velocidad y control remoto simple,None,734,609,2024/02/04
Consola Xbox Series S 512gb Bundle 3 Meses Game Pass Ultimate Blanco,None,"7,799","5,693",2024/02/04
Tenis De Seguridad Industrial Zapatos Trabajo Ligero Kevlar,None,890,364,2024/02/04
14 Piezas Cajas Organizadoras Apilables Para Zapatos,None,505,287,2024/02/04
Apple iPhone 15 (128 GB) - Verde,None,"24,165","14,982",2024/02/04
Chamarra Tactica Militar Térmica Impermeable Tactico Hombre,None,999,499,2024/02/04
Control Dualsense Inalámbrico Grey Camo - Playstation 5,None,"1,585","1,315",2024/02/04
Creatina Meta Nutrition 500 Gr 100 Porciones Sabor Sin sabor,None,683,498,2024/02/04
Panel Decorativo 3d Para Pared 6 Piezas 50 Cm X 50 Cm,None,599,236,2024/02/04
Zapatos De Seguridad Tenis Deportivos Industriales Nieion,4.6,531,393,2024/02/04
 Moto G32 Dual SIM 256 GB gris mineral 8 GB RAM,None,"3,799","3,191",2024/02/04
Mesa Plegable 1.80 Mts Portatil Portafolio Eventos Jardin,None,859,839,2024/02/04
Carrito Auxiliar Organizador Multiusos 3 Niveles Plastico,None,399,207,2024/02/04
Colchoneta  Memory Foam Topper King Size 5 Cm Gel Cool Zone,None,"3,618","1,499",2024/02/04
Smartwatch Huawei Band 8 1.47' Batería Hasta 14 Días Naranja Color de la caja Negro Color del bisel Negro Diseño de la correa Deportivo,None,999,899,2024/02/04
"Laptop Asus E510 15,6'' Intel Celeron 8gb Ram + 128gb Azul Color Peacock blue",4.4,"6,999","4,799",2024/02/04
Celular Cubot Note 40 Dual Sim 256 Gb 6 Gb Ram 90 Hz 5200 Ma,None,"3,424","2,054",2024/02/04
Televisor Daewoo Daw32r 32 Smart Roku Hd,None,"3,479","2,783",2024/02/04
Control Xbox Wireless Electric Volt Color Verde,4.8,"1,486","1,027",2024/02/04
"Audifonos Huawei Freebuds Se 2 azul, 40 H De Música Continua",4.9,"1,099",699,2024/02/04
Carolina Herrera Good Girl Eau de parfum 80 ml para  mujer,None,"1,200",600,2024/02/04
Colchón Individual Resorte Y Memory Foam - Expansión Rápida Color Blanco,None,"2,999","1,797",2024/02/04
